Date;hour;air_temp;W
01-janv-21;0;12;H
01-janv-21;1;12;H
01-janv-21;2;11;H
01-janv-21;3;11;H
01-janv-21;4;11;H
01-janv-21;5;10;H
01-janv-21;6;10;H
01-janv-21;7;10;H
01-janv-21;8;10;H
01-janv-21;9;10;H
01-janv-21;10;11;H
01-janv-21;11;12;H
01-janv-21;12;12;H
01-janv-21;13;12;H
01-janv-21;14;12;H
01-janv-21;15;12;H
01-janv-21;16;11;H
01-janv-21;17;11;H
01-janv-21;18;11;H
01-janv-21;19;11;H
01-janv-21;20;11;H
01-janv-21;21;10;H
01-janv-21;22;10;H
01-janv-21;23;10;H
02-janv-21;0;10;H
02-janv-21;1;11;H
02-janv-21;2;10;H
02-janv-21;3;10;H
02-janv-21;4;10;H
02-janv-21;5;10;H
02-janv-21;6;10;H
02-janv-21;7;11;H
02-janv-21;8;11;H
02-janv-21;9;11;H
02-janv-21;10;11;H
02-janv-21;11;11;H
02-janv-21;12;12;H
02-janv-21;13;12;H
02-janv-21;14;12;H
02-janv-21;15;12;H
02-janv-21;16;11;H
02-janv-21;17;11;H
02-janv-21;18;11;H
02-janv-21;19;11;H
02-janv-21;20;10;H
02-janv-21;21;10;H
02-janv-21;22;10;H
02-janv-21;23;10;H
03-janv-21;0;9;H
03-janv-21;1;9;H
03-janv-21;2;8;H
03-janv-21;3;8;H
03-janv-21;4;9;H
03-janv-21;5;9;H
03-janv-21;6;9;H
03-janv-21;7;9;H
03-janv-21;8;9;H
03-janv-21;9;9;H
03-janv-21;10;9;H
03-janv-21;11;9;H
03-janv-21;12;9;H
03-janv-21;13;9;H
03-janv-21;14;8;H
03-janv-21;15;9;H
03-janv-21;16;9;H
03-janv-21;17;9;H
03-janv-21;18;8;H
03-janv-21;19;8;H
03-janv-21;20;8;H
03-janv-21;21;8;H
03-janv-21;22;7;H
03-janv-21;23;7;H
04-janv-21;0;7;H
04-janv-21;1;7;H
04-janv-21;2;7;H
04-janv-21;3;7;H
04-janv-21;4;6;H
04-janv-21;5;6;H
04-janv-21;6;6;H
04-janv-21;7;6;H
04-janv-21;8;6;H
04-janv-21;9;6;H
04-janv-21;10;6;H
04-janv-21;11;6;H
04-janv-21;12;6;H
04-janv-21;13;6;H
04-janv-21;14;6;H
04-janv-21;15;6;H
04-janv-21;16;6;H
04-janv-21;17;6;H
04-janv-21;18;6;H
04-janv-21;19;6;H
04-janv-21;20;5;H
04-janv-21;21;4;H
04-janv-21;22;2;H
04-janv-21;23;2;H
05-janv-21;0;2;W
05-janv-21;1;2;W
05-janv-21;2;1;W
05-janv-21;3;1;W
05-janv-21;4;0;W
05-janv-21;5;0;W
05-janv-21;6;0;W
05-janv-21;7;0;W
05-janv-21;8;1;W
05-janv-21;9;1;W
05-janv-21;10;2;W
05-janv-21;11;2;W
05-janv-21;12;3;W
05-janv-21;13;3;W
05-janv-21;14;4;W
05-janv-21;15;4;W
05-janv-21;16;3;W
05-janv-21;17;3;W
05-janv-21;18;3;W
05-janv-21;19;3;W
05-janv-21;20;3;W
05-janv-21;21;3;W
05-janv-21;22;3;W
05-janv-21;23;3;W
06-janv-21;0;3;W
06-janv-21;1;2;W
06-janv-21;2;2;W
06-janv-21;3;2;W
06-janv-21;4;2;W
06-janv-21;5;2;W
06-janv-21;6;1;W
06-janv-21;7;1;W
06-janv-21;8;1;W
06-janv-21;9;2;W
06-janv-21;10;3;W
06-janv-21;11;3;W
06-janv-21;12;4;W
06-janv-21;13;4;W
06-janv-21;14;4;W
06-janv-21;15;3;W
06-janv-21;16;2;W
06-janv-21;17;1;W
06-janv-21;18;1;W
06-janv-21;19;1;W
06-janv-21;20;2;W
06-janv-21;21;2;W
06-janv-21;22;2;W
06-janv-21;23;2;W
07-janv-21;0;2;W
07-janv-21;1;2;W
07-janv-21;2;2;W
07-janv-21;3;2;W
07-janv-21;4;2;W
07-janv-21;5;2;W
07-janv-21;6;2;W
07-janv-21;7;2;W
07-janv-21;8;2;W
07-janv-21;9;2;W
07-janv-21;10;3;W
07-janv-21;11;3;W
07-janv-21;12;4;W
07-janv-21;13;3;W
07-janv-21;14;3;W
07-janv-21;15;2;W
07-janv-21;16;2;W
07-janv-21;17;2;W
07-janv-21;18;2;W
07-janv-21;19;2;W
07-janv-21;20;2;W
07-janv-21;21;2;W
07-janv-21;22;1;W
07-janv-21;23;1;W
08-janv-21;0;1;WE
08-janv-21;1;0;WE
08-janv-21;2;0;WE
08-janv-21;3;1;WE
08-janv-21;4;0;WE
08-janv-21;5;0;WE
08-janv-21;6;1;WE
08-janv-21;7;1;WE
08-janv-21;8;1;WE
08-janv-21;9;1;WE
08-janv-21;10;2;WE
08-janv-21;11;2;WE
08-janv-21;12;2;WE
08-janv-21;13;2;WE
08-janv-21;14;3;WE
08-janv-21;15;3;WE
08-janv-21;16;4;WE
08-janv-21;17;4;WE
08-janv-21;18;4;WE
08-janv-21;19;4;WE
08-janv-21;20;4;WE
08-janv-21;21;5;WE
08-janv-21;22;5;WE
08-janv-21;23;5;WE
09-janv-21;0;4;WE
09-janv-21;1;4;WE
09-janv-21;2;4;WE
09-janv-21;3;4;WE
09-janv-21;4;4;WE
09-janv-21;5;4;WE
09-janv-21;6;3;WE
09-janv-21;7;3;WE
09-janv-21;8;3;WE
09-janv-21;9;3;WE
09-janv-21;10;4;WE
09-janv-21;11;4;WE
09-janv-21;12;4;WE
09-janv-21;13;4;WE
09-janv-21;14;4;WE
09-janv-21;15;4;WE
09-janv-21;16;3;WE
09-janv-21;17;2;WE
09-janv-21;18;2;WE
09-janv-21;19;2;WE
09-janv-21;20;1;WE
09-janv-21;21;1;WE
09-janv-21;22;0;WE
09-janv-21;23;0;WE
10-janv-21;0;0;W
10-janv-21;1;0;W
10-janv-21;2;-1;W
10-janv-21;3;-1;W
10-janv-21;4;-1;W
10-janv-21;5;-1;W
10-janv-21;6;-1;W
10-janv-21;7;-1;W
10-janv-21;8;-1;W
10-janv-21;9;-1;W
10-janv-21;10;0;W
10-janv-21;11;1;W
10-janv-21;12;1;W
10-janv-21;13;1;W
10-janv-21;14;1;W
10-janv-21;15;0;W
10-janv-21;16;0;W
10-janv-21;17;-1;W
10-janv-21;18;-2;W
10-janv-21;19;-2;W
10-janv-21;20;-2;W
10-janv-21;21;-2;W
10-janv-21;22;-2;W
10-janv-21;23;-2;W
11-janv-21;0;-2;W
11-janv-21;1;-2;W
11-janv-21;2;-2;W
11-janv-21;3;-2;W
11-janv-21;4;-2;W
11-janv-21;5;-2;W
11-janv-21;6;-2;W
11-janv-21;7;-2;W
11-janv-21;8;-2;W
11-janv-21;9;-1;W
11-janv-21;10;0;W
11-janv-21;11;2;W
11-janv-21;12;3;W
11-janv-21;13;3;W
11-janv-21;14;3;W
11-janv-21;15;2;W
11-janv-21;16;1;W
11-janv-21;17;0;W
11-janv-21;18;-1;W
